i_v,j_v,i_v_q
199,199,-3.000000000000014
199,227,2.9999999999999947
199,228,2.9999999999999947
200,199,0.0
200,200,0.0
200,201,0.0
200,202,0.0
200,228,0.0
200,230,0.0
201,201,-2.9999999999999982
201,202,2.9999999999999956
201,203,-2.9999999999999982
202,202,-3.000000000000014
202,230,2.9999999999999947
202,231,2.9999999999999947
203,202,0.0
203,203,0.0
203,204,0.0
203,205,0.0
203,231,0.0
203,233,0.0
204,204,-2.9999999999999982
204,205,2.9999999999999956
204,206,-2.9999999999999982
205,205,-3.000000000000014
205,233,2.9999999999999947
205,234,2.9999999999999947
206,205,0.0
206,206,0.0
206,207,0.0
206,208,0.0
206,234,0.0
206,236,0.0
207,207,-2.9999999999999982
207,208,2.9999999999999956
207,209,-2.9999999999999982
208,208,-3.000000000000014
208,236,2.9999999999999947
208,237,2.9999999999999947
209,180,0.0
209,181,0.0
209,208,0.0
209,209,0.0
209,237,0.0
209,239,0.0
210,210,-3.0000000000000036
210,211,2.9999999999999956
210,212,-3.0000000000000036
211,211,-3.000000000000014
211,242,2.999999999999999
211,243,2.999999999999999
212,211,0.0
212,212,0.0
212,213,0.0
212,214,0.0
212,243,0.0
212,245,0.0
213,213,-3.0000000000000036
213,214,2.9999999999999956
213,215,-3.0000000000000036
214,214,-3.000000000000014
214,245,2.999999999999999
214,246,2.999999999999999
215,214,0.0
215,215,0.0
215,216,0.0
215,217,0.0
215,246,0.0
215,248,0.0
216,216,-3.0000000000000036
216,217,2.9999999999999956
216,218,-3.0000000000000036
217,217,-3.000000000000014
217,248,2.999999999999999
217,249,2.999999999999999
218,217,0.0
218,218,0.0
218,219,0.0
218,220,0.0
218,249,0.0
218,251,0.0
219,219,-3.0000000000000036
219,220,2.9999999999999956
219,221,-3.0000000000000036
220,220,-3.000000000000014
220,251,2.999999999999999
220,252,2.999999999999999
221,220,0.0
221,221,0.0
221,222,0.0
221,223,0.0
221,252,0.0
221,254,0.0
222,222,-3.0000000000000036
222,223,2.9999999999999956
222,224,-3.0000000000000036
223,223,-3.000000000000014
223,254,2.999999999999999
223,255,2.999999999999999
224,223,0.0
224,224,0.0
224,225,0.0
224,226,0.0
224,255,0.0
224,257,0.0
225,225,-3.0000000000000036
225,226,2.9999999999999956
225,227,-3.0000000000000036
226,226,-3.000000000000014
226,257,2.999999999999999
226,258,2.999999999999999
227,226,0.0
227,227,0.0
227,228,0.0
227,229,0.0
227,258,0.0
227,260,0.0
228,228,-3.0000000000000036
228,229,2.9999999999999956
228,230,-3.0000000000000036
229,229,-3.000000000000014
229,260,2.999999999999999
229,261,2.999999999999999
230,229,0.0
230,230,0.0
230,231,0.0
230,232,0.0
230,261,0.0
230,263,0.0
231,231,-3.0000000000000036
231,232,2.9999999999999956
231,233,-3.0000000000000036
232,232,-3.000000000000014
232,263,2.999999999999999
232,264,2.999999999999999
233,232,0.0
233,233,0.0
233,234,0.0
233,235,0.0
233,264,0.0
233,266,0.0
234,234,-3.0000000000000036
234,235,2.9999999999999956
234,236,-3.0000000000000036
235,235,-3.000000000000014
235,266,2.999999999999999
235,267,2.999999999999999
236,235,0.0
236,236,0.0
236,237,0.0
236,238,0.0
236,267,0.0
236,269,0.0
237,237,-3.0000000000000036
237,238,2.9999999999999956
237,239,-3.0000000000000036
238,240,2.999999999999999
238,238,-3.000000000000014
238,269,2.999999999999999
239,210,0.0
239,211,0.0
239,240,0.0
239,242,0.0
